iter	Passed	Remaining
0	6	9488
1	14	11022
2	21	10708
3	30	11397
4	37	11176
5	46	11526
6	51	10966
7	57	10792
8	64	10673
9	69	10324
10	77	10459
11	82	10207
12	88	10117
13	96	10274
14	102	10093
15	112	10450
16	118	10353
17	126	10421
18	132	10287
19	137	10180
20	146	10319
21	153	10274
22	160	10331
23	166	10256
24	172	10181
25	178	10130
26	184	10036
27	191	10058
28	197	10002
29	202	9900
30	209	9930
31	214	9846
32	219	9763
33	227	9788
34	232	9724
35	238	9688
36	244	9661
37	249	9585
38	258	9660
39	264	9631
40	269	9571
41	276	9596
42	281	9543
43	288	9537
44	294	9522
45	302	9541
46	311	9610
47	316	9576
48	324	9608
49	331	9600
50	338	9620
51	344	9595
52	350	9549
53	357	9563
54	362	9517
55	367	9468
56	374	9473
57	379	9428
58	384	9377
59	392	9407
60	397	9379
61	405	9408
62	412	9393
63	417	9364
64	426	9400
65	431	9357
66	438	9373
67	444	9344
68	448	9303
69	455	9289
70	460	9259
71	465	9219
72	472	9234
73	477	9195
74	482	9159
75	489	9168
76	494	9133
77	499	9099
78	506	9113
79	511	9079
80	517	9057
81	523	9048
82	528	9021
83	536	9043
84	542	9025
85	547	8990
86	555	9011
87	560	8992
88	568	8999
89	573	8979
90	579	8958
91	586	8974
92	593	8973
93	599	8961
94	606	8959
95	611	8934
96	617	8924
97	623	8910
98	627	8880
99	635	8893
100	640	8867
101	645	8840
102	652	8840
103	657	8813
104	662	8788
105	669	8797
106	674	8773
107	679	8748
108	686	8754
109	691	8731
110	696	8705
111	703	8714
112	708	8692
113	714	8675
114	721	8680
115	726	8656
116	734	8672
117	739	8655
118	744	8635
119	752	8643
120	759	8652
121	767	8660
122	773	8658
123	783	8687
124	788	8671
125	796	8674
126	802	8674
127	809	8665
128	817	8681
129	823	8667
130	830	8672
131	836	8658
132	841	8645
133	848	8647
134	854	8630
135	860	8626
136	866	8618
137	872	8603
138	880	8612
139	885	8599
140	892	8597
141	899	8598
142	905	8588
143	913	8593
144	918	8580
145	927	8591
146	932	8579
147	939	8580
148	947	8580
149	952	8566
150	960	8575
151	965	8559
152	974	8575
153	980	8561
154	990	8586
155	996	8581
156	1003	8581
157	1009	8571
158	1015	8558
159	1023	8566
160	1029	8554
161	1035	8542
162	1042	8546
163	1049	8543
164	1057	8553
165	1063	8540
166	1074	8568
167	1082	8576
168	1090	8582
169	1096	8569
170	1105	8582
171	1111	8571
172	1119	8577
173	1124	8564
174	1129	8549
175	1137	8548
176	1142	8536
177	1153	8556
178	1160	8558
179	1168	8563
180	1175	8556
181	1183	8560
182	1188	8550
183	1195	8540
184	1202	8543
185	1208	8530
186	1216	8533
187	1221	8520
188	1227	8507
189	1235	8512
190	1241	8501
191	1249	8507
192	1255	8495
193	1261	8488
194	1269	8488
195	1274	8475
196	1282	8478
197	1288	8465
198	1294	8456
199	1302	8462
200	1308	8451
201	1316	8450
202	1321	8438
203	1329	8439
204	1335	8431
205	1341	8418
206	1349	8420
207	1354	8407
208	1363	8414
209	1368	8402
210	1374	8389
211	1382	8389
212	1387	8377
213	1395	8379
214	1402	8374
215	1408	8364
216	1416	8369
217	1422	8356
218	1430	8363
219	1436	8350
220	1442	8343
221	1450	8341
222	1455	8328
223	1464	8333
224	1469	8323
225	1477	8321
226	1483	8315
227	1489	8302
228	1497	8305
229	1504	8301
230	1512	8304
231	1518	8292
232	1526	8295
233	1533	8287
234	1538	8277
235	1548	8289
236	1554	8279
237	1562	8279
238	1568	8268
239	1575	8264
240	1581	8256
241	1587	8244
242	1595	8248
243	1601	8236
244	1609	8238
245	1615	8228
246	1621	8219
247	1630	8223
248	1636	8217
249	1645	8218
250	1650	8206
251	1656	8198
252	1663	8193
253	1668	8180
254	1677	8183
255	1682	8171
256	1690	8170
257	1696	8160
258	1702	8150
259	1710	8151
260	1716	8141
261	1724	8139
262	1729	8129
263	1735	8119
264	1746	8132
265	1753	8129
266	1761	8126
267	1766	8115
268	1775	8117
269	1780	8106
270	1788	8103
271	1794	8096
272	1800	8085
273	1808	8086
274	1814	8077
275	1821	8073
276	1828	8067
277	1834	8056
278	1842	8056
279	1848	8046
280	1856	8048
281	1862	8036
282	1867	8025
283	1875	8022
284	1880	8011
285	1889	8013
286	1895	8004
287	1900	7991
288	1908	7989
289	1913	7977
290	1919	7969
291	1926	7961
292	1931	7951
293	1939	7948
294	1945	7940
295	1951	7933
296	1959	7930
297	1965	7919
298	1973	7921
299	1979	7912
300	1988	7912
301	1994	7903
302	2000	7896
303	2008	7893
304	2013	7882
305	2021	7882
306	2027	7872
307	2036	7873
308	2042	7866
309	2048	7855
310	2056	7855
311	2062	7845
312	2070	7846
313	2076	7836
314	2082	7828
315	2089	7822
316	2095	7812
317	2103	7812
318	2109	7802
319	2115	7792
320	2122	7790
321	2128	7779
322	2137	7781
323	2143	7772
324	2152	7774
325	2158	7766
326	2166	7763
327	2172	7756
328	2178	7746
329	2186	7745
330	2192	7735
331	2200	7733
332	2206	7724
333	2211	7714
334	2219	7712
335	2225	7702
336	2232	7697
337	2239	7690
338	2244	7681
339	2252	7679
340	2258	7670
341	2267	7670
342	2273	7660
343	2279	7652
344	2286	7648
345	2292	7639
346	2302	7643
347	2307	7632
348	2317	7636
349	2323	7627
350	2329	7619
351	2336	7611
352	2341	7602
353	2349	7600
354	2355	7590
355	2361	7581
356	2368	7575
357	2373	7564
358	2380	7559
359	2386	7550
360	2392	7540
361	2399	7537
362	2405	7528
363	2412	7521
364	2418	7514
365	2424	7504
366	2432	7502
367	2438	7493
368	2444	7487
369	2450	7478
370	2456	7469
371	2464	7466
372	2470	7457
373	2475	7446
374	2484	7445
375	2490	7437
376	2499	7438
377	2505	7428
378	2514	7429
379	2519	7419
380	2525	7411
381	2534	7411
382	2540	7403
383	2549	7401
384	2554	7391
385	2562	7388
386	2568	7379
387	2573	7369
388	2581	7366
389	2586	7355
390	2596	7358
391	2602	7348
392	2609	7343
393	2615	7335
394	2621	7325
395	2629	7323
396	2634	7313
397	2642	7310
398	2649	7304
399	2655	7295
400	2663	7294
401	2669	7285
402	2678	7283
403	2684	7276
404	2694	7277
405	2702	7275
406	2711	7275
407	2717	7266
408	2725	7264
409	2731	7254
